Data,Open,High,Low,Close
16/08/2023 14:50:00,118.850,118.865,118.740,118.800
16/08/2023 14:45:00,118.765,118.865,118.745,118.850
16/08/2023 14:40:00,118.720,118.815,118.705,118.765
16/08/2023 14:35:00,118.745,118.780,118.675,118.720
16/08/2023 14:30:00,118.770,118.775,118.710,118.745
16/08/2023 14:25:00,118.720,118.845,118.715,118.765
16/08/2023 14:20:00,118.655,118.740,118.645,118.720
16/08/2023 14:15:00,118.625,118.685,118.545,118.660
16/08/2023 14:10:00,118.820,118.825,118.570,118.630
16/08/2023 14:05:00,118.750,118.825,118.645,118.820
16/08/2023 14:00:00,118.825,118.875,118.605,118.750
16/08/2023 13:55:00,118.860,118.945,118.805,118.825
16/08/2023 13:50:00,118.830,118.895,118.805,118.860
16/08/2023 13:45:00,118.705,118.835,118.650,118.835
16/08/2023 13:40:00,118.835,118.835,118.680,118.700
16/08/2023 13:35:00,118.780,118.840,118.705,118.835
16/08/2023 13:30:00,118.850,118.860,118.730,118.780
16/08/2023 13:25:00,118.780,118.905,118.760,118.850
16/08/2023 13:20:00,118.835,118.880,118.765,118.780
16/08/2023 13:15:00,118.805,118.910,118.760,118.835
16/08/2023 13:10:00,119.105,119.130,118.715,118.810
16/08/2023 13:05:00,119.090,119.150,118.990,119.110
16/08/2023 13:00:00,119.225,119.245,119.080,119.095
16/08/2023 12:55:00,119.205,119.240,119.160,119.220
16/08/2023 12:50:00,119.100,119.215,119.060,119.205
16/08/2023 12:45:00,119.155,119.205,119.045,119.100
16/08/2023 12:40:00,119.150,119.230,119.130,119.155
16/08/2023 12:35:00,119.230,119.275,119.125,119.150
16/08/2023 12:30:00,119.160,119.260,119.115,119.235
16/08/2023 12:25:00,119.130,119.180,119.065,119.165
16/08/2023 12:20:00,119.195,119.235,119.105,119.130
16/08/2023 12:15:00,119.310,119.325,119.170,119.195
16/08/2023 12:10:00,119.340,119.380,119.205,119.310
16/08/2023 12:05:00,119.380,119.450,119.315,119.340
16/08/2023 12:00:00,119.455,119.485,119.335,119.375
16/08/2023 11:55:00,119.565,119.570,119.405,119.450
16/08/2023 11:50:00,119.345,119.660,119.305,119.565
16/08/2023 11:45:00,119.490,119.490,119.310,119.340
16/08/2023 11:40:00,119.495,119.560,119.335,119.490
16/08/2023 11:35:00,119.345,119.525,119.270,119.495
16/08/2023 11:30:00,119.090,119.355,119.065,119.345
16/08/2023 11:25:00,119.015,119.160,118.985,119.085
16/08/2023 11:20:00,118.830,119.065,118.810,119.020
16/08/2023 11:15:00,118.895,118.990,118.785,118.830
16/08/2023 11:10:00,118.925,119.115,118.865,118.890
16/08/2023 11:05:00,118.715,118.945,118.690,118.925
16/08/2023 11:00:00,118.755,118.795,118.635,118.715
16/08/2023 10:55:00,118.680,118.770,118.555,118.755
16/08/2023 10:50:00,118.955,118.970,118.580,118.680
16/08/2023 10:45:00,118.695,119.035,118.685,118.950
16/08/2023 10:40:00,118.835,118.925,118.635,118.700
16/08/2023 10:35:00,118.805,118.965,118.635,118.840
